airline_code,airline_id,source_airport,source_airport_id,destination_airport,destination_airport_id,codeshare,stops,equipment
2B,410.0,UUA,6160,NJC,2972,,0,CR2
2G,1654.0,BTK,2936,IKT,2937,,0,A81
2G,1654.0,BTK,2936,OVB,4078,,0,A81
2G,1654.0,CEK,2968,OVB,4078,,0,A81
2G,1654.0,HTA,2935,IKT,2937,,0,AN4
2G,1654.0,IKT,2937,BTK,2936,,0,A81
2G,1654.0,IKT,2937,HTA,2935,,0,AN4
2G,1654.0,IKT,2937,ODO,8944,,0,AN4
2G,1654.0,IKT,2937,OVB,4078,,0,A81
2G,1654.0,IKT,2937,UKX,6924,,0,AN4
2G,1654.0,IKT,2937,ULK,9026,,0,AN4
2G,1654.0,IKT,2937,YKS,2923,,0,A81
2G,1654.0,MJZ,2925,OVB,4078,,0,A81
2G,1654.0,ODO,8944,IKT,2937,,0,AN4
2G,1654.0,OVB,4078,BTK,2936,,0,A81
2G,1654.0,OVB,4078,CEK,2968,,0,A81
2G,1654.0,OVB,4078,IKT,2937,,0,A81
2G,1654.0,UKX,6924,IKT,2937,,0,AN4
2G,1654.0,ULK,9026,IKT,2937,,0,AN4
2G,1654.0,YKS,2923,IKT,2937,,0,A81
2I,8359.0,AYP,2786,LIM,2789,,0,142
2I,8359.0,CUZ,2812,LIM,2789,,0,142 141
2I,8359.0,CUZ,2812,PEM,2808,,0,142
2I,8359.0,HUU,6067,LIM,2789,,0,141
2I,8359.0,IQT,2801,PCL,2781,,0,143
2I,8359.0,IQT,2801,TPP,2806,,0,142
2I,8359.0,LIM,2789,AYP,2786,,0,142
2I,8359.0,LIM,2789,CUZ,2812,,0,142 141
2I,8359.0,LIM,2789,HUU,6067,,0,141
2I,8359.0,LIM,2789,PCL,2781,,0,143 146
2I,8359.0,LIM,2789,TPP,2806,,0,142 146
2I,8359.0,PCL,2781,IQT,2801,,0,143
2I,8359.0,PCL,2781,LIM,2789,,0,143 146
2I,8359.0,PCL,2781,TPP,2806,,0,146
2I,8359.0,PEM,2808,CUZ,2812,,0,142
2I,8359.0,TPP,2806,IQT,2801,,0,142
2I,8359.0,TPP,2806,LIM,2789,,0,142 146
2I,8359.0,TPP,2806,PCL,2781,,0,146
2J,470.0,ABJ,253,BOY,247,,0,CRJ
2J,470.0,ABJ,253,OUA,246,,0,E70 CRJ M87
2J,470.0,ACC,248,OUA,246,,0,CRJ
2J,470.0,BKO,1044,ABJ,253,,0,M87
2J,470.0,BKO,1044,DKR,1084,,0,M87
2J,470.0,BKO,1044,OUA,246,,0,CRJ
2J,470.0,BOY,247,ABJ,253,,0,CRJ
2J,470.0,BOY,247,OUA,246,,0,CRJ
2J,470.0,COO,245,LFW,298,,0,M87
2J,470.0,COO,245,OUA,246,,0,M87
2J,470.0,DKR,1084,BKO,1044,,0,M87
2J,470.0,DKR,1084,OUA,246,,0,M87
2J,470.0,LFW,298,OUA,246,,0,M87 CRJ
2J,470.0,NIM,280,OUA,246,,0,CRJ
2J,470.0,OUA,246,ABJ,253,,0,E70 CRJ M87
2J,470.0,OUA,246,ACC,248,,0,CRJ
2J,470.0,OUA,246,BKO,1044,,0,M87 CRJ
2J,470.0,OUA,246,BOY,247,,0,CRJ
2J,470.0,OUA,246,COO,245,,0,M87
2J,470.0,OUA,246,DKR,1084,,0,M87
2J,470.0,OUA,246,LFW,298,,0,CRJ
2J,470.0,OUA,246,NIM,280,,0,CRJ
2K,1338.0,BOG,2709,GYE,2673,,0,319
2K,1338.0,BOG,2709,UIO,2688,,0,319 320
2K,1338.0,CLO,2715,GYE,2673,,0,319
2K,1338.0,GYE,2673,BOG,2709,,0,319
2K,1338.0,GYE,2673,CLO,2715,,0,319
2K,1338.0,GYE,2673,SCY,6045,,0,319 320
2K,1338.0,GYE,2673,UIO,2688,,0,320 319
2K,1338.0,OCC,2670,UIO,2688,,0,319
2K,1338.0,SCY,6045,GYE,2673,,0,319 320
2K,1338.0,UIO,2688,BOG,2709,,0,319 320
2K,1338.0,UIO,2688,GYE,2673,,0,319
2K,1338.0,UIO,2688,OCC,2670,,0,319
2L,2750.0,BDS,1506,ZRH,1678,,0,100
2L,2750.0,BOD,1264,ZRH,1678,,0,100
2L,2750.0,BRS,490,ZRH,1678,,0,100
2L,2750.0,GVA,1665,LPA,1054,,0,319
2L,2750.0,LCA,1197,ZRH,1678,,0,319
2L,2750.0,LPA,1054,ZRH,1678,,0,319
2L,2750.0,RMF,4197,ZRH,1678,,0,319
2L,2750.0,TFS,1056,GVA,1665,,0,319
2L,2750.0,ZRH,1678,BDS,1506,,0,100
2L,2750.0,ZRH,1678,BOD,1264,,0,100
2L,2750.0,ZRH,1678,BRS,490,,0,100
2L,2750.0,ZRH,1678,LCA,1197,,0,319
2L,2750.0,ZRH,1678,LPA,1054,,0,319
2L,2750.0,ZRH,1678,RMF,4197,,0,319
2N,3652.0,AJR,730,LYC,719,,0,ATP
2N,3652.0,ARN,737,GEV,715,,0,ATP
2N,3652.0,ARN,737,HAD,709,,0,SF3
2N,3652.0,ARN,737,JKG,688,,0,ATP SF3
2N,3652.0,ARN,737,KRF,718,,0,ATP
2N,3652.0,ARN,737,KSD,5595,,0,SF3
2N,3652.0,ARN,737,LYC,719,,0,ATP
2N,3652.0,ARN,737,MHQ,442,,0,SF3
2N,3652.0,ARN,737,OER,722,,0,ATR
2N,3652.0,ARN,737,POR,448,,0,SF3
2N,3652.0,ARN,737,TRF,664,,0,SF3
2N,3652.0,ARN,737,VBY,746,,0,SF3 ATP
2N,3652.0,ARN,737,VHM,729,,0,SF3
2N,3652.0,ARN,737,VXO,711,,0,SF3
2N,3652.0,GEV,715,ARN,737,,0,ATP
2N,3652.0,GEV,715,KRF,718,,0,ATP
2N,3652.0,HAD,709,ARN,737,,0,SF3 ATP
2N,3652.0,HAD,709,JKG,688,,0,ATP SF3
2N,3652.0,HAD,709,VXO,711,,0,SF3
2N,3652.0,HMV,5599,VHM,729,,0,SF3
2N,3652.0,JKG,688,ARN,737,,0,ATP SF3
2N,3652.0,JKG,688,HAD,709,,0,ATP SF3
2N,3652.0,KOK,435,POR,448,,0,SF3
2N,3652.0,KRF,718,ARN,737,,0,ATP
2N,3652.0,KRF,718,GEV,715,,0,ATP
2N,3652.0,KSD,5595,ARN,737,,0,SF3
2N,3652.0,LYC,719,AJR,730,,0,ATP
2N,3652.0,LYC,719,ARN,737,,0,ATP
2N,3652.0,MHQ,442,ARN,737,,0,SF3
2N,3652.0,MHQ,442,TKU,460,,0,SF3
2N,3652.0,OER,722,ARN,737,,0,ATR
2N,3652.0,OSL,644,VXO,711,,0,SF3
2N,3652.0,POR,448,ARN,737,,0,SF3
2N,3652.0,POR,448,KOK,435,,0,SF3
2N,3652.0,TKU,460,MHQ,442,,0,SF3
2N,3652.0,TRF,664,ARN,737,,0,SF3
2N,3652.0,VBY,746,ARN,737,,0,SF3 ATP
2N,3652.0,VHM,729,ARN,737,,0,SF3
2N,3652.0,VHM,729,HMV,5599,,0,SF3
2N,3652.0,VXO,711,ARN,737,,0,SF3
2N,3652.0,VXO,711,OSL,644,,0,SF3
2O,146.0,ADQ,3531,KLN,7162,,0,BNI
2O,146.0,KLN,7162,KYK,7161,,0,BNI
2P,897.0,BSO,6019,MNL,2397,,0,DH4
2P,897.0,BXU,4200,MNL,2397,,0,320
2P,897.0,CBO,2399,MNL,2397,,0,320
2P,897.0,CGY,2400,MNL,2397,,0,320
2P,897.0,CRM,6024,MNL,2397,,0,DH4
2P,897.0,DGT,2425,MNL,2397,,0,320
2P,897.0,DWC,8076,MNL,2397,,0,330
2P,897.0,GES,2402,MNL,2397,Y,0,320
2P,897.0,KLO,2430,MNL,2397,,0,320
2P,897.0,LGP,4203,MNL,2397,,0,320
2P,897.0,MNL,2397,BSO,6019,,0,DH4
2P,897.0,MNL,2397,BXU,4200,,0,320
2P,897.0,MNL,2397,CBO,2399,,0,320
2P,897.0,MNL,2397,CGY,2400,,0,320
2P,897.0,MNL,2397,CRM,6024,,0,DH4
2P,897.0,MNL,2397,DGT,2425,,0,320
2P,897.0,MNL,2397,DWC,8076,,0,330
2P,897.0,MNL,2397,GES,2402,Y,0,320
2P,897.0,MNL,2397,KLO,2430,,0,320
2P,897.0,MNL,2397,LGP,4203,,0,320
2P,897.0,MNL,2397,MPH,2426,,0,DH3
2P,897.0,MNL,2397,OZC,4204,,0,320
2P,897.0,MNL,2397,PPS,2433,,0,320
2P,897.0,MNL,2397,RXS,6026,,0,320
2P,897.0,MNL,2397,SUG,6016,,0,DH4
2P,897.0,MNL,2397,TUG,6021,,0,DH4
2P,897.0,MNL,2397,ZAM,2404,,0,320
2P,897.0,MPH,2426,MNL,2397,,0,DH3
2P,897.0,OZC,4204,MNL,2397,,0,320
2P,897.0,PPS,2433,MNL,2397,,0,320
2P,897.0,RXS,6026,MNL,2397,,0,320
2P,897.0,SUG,6016,MNL,2397,,0,DH4
2P,897.0,TUG,6021,MNL,2397,,0,DH4
2P,897.0,ZAM,2404,MNL,2397,,0,320
2Z,1729.0,AUX,7376,PMW,4214,,0,AT7
2Z,1729.0,BRA,7373,BSB,2531,,0,AT7
2Z,1729.0,BRA,7373,SSA,2621,,0,AT7
2Z,1729.0,BSB,2531,BRA,7373,,0,AT7
2Z,1729.0,BSB,2531,OPS,7367,,0,AT7
2Z,1729.0,BSB,2531,RAO,2613,,0,AT7
2Z,1729.0,CAC,2535,GRU,2564,,0,AT7
2Z,1729.0,CGB,2548,GYN,2562,,0,AT7
2Z,1729.0,CGB,2548,OPS,7367,,0,AT7
2Z,1729.0,CGR,2538,DOU,7380,,0,AT7
2Z,1729.0,DOU,7380,CGR,2538,,0,AT7
2Z,1729.0,DOU,7380,GRU,2564,,0,AT7
2Z,1729.0,GIG,2560,RAO,2613,,0,AT7
2Z,1729.0,GRU,2564,CAC,2535,,0,AT7
2Z,1729.0,GRU,2564,DOU,7380,,0,AT7
2Z,1729.0,GRU,2564,RAO,2613,,0,AT7
2Z,1729.0,GRU,2564,UBA,2635,,0,AT7
2Z,1729.0,GRU,2564,UDI,2633,,0,AT7
2Z,1729.0,GRU,2564,VDC,6039,,0,AT7
2Z,1729.0,GYN,2562,CGB,2548,,0,AT7
2Z,1729.0,GYN,2562,PMW,4214,,0,AT7
2Z,1729.0,GYN,2562,RAO,2613,,0,AT7
2Z,1729.0,GYN,2562,UDI,2633,,0,AT7
2Z,1729.0,OPS,7367,BSB,2531,,0,AT7
2Z,1729.0,OPS,7367,CGB,2548,,0,AT7
2Z,1729.0,PLU,2528,RAO,2613,,0,AT7
2Z,1729.0,PMW,4214,AUX,7376,,0,AT7
2Z,1729.0,PMW,4214,GYN,2562,,0,AT7
2Z,1729.0,RAO,2613,BSB,2531,,0,AT7
2Z,1729.0,RAO,2613,GIG,2560,,0,AT7
2Z,1729.0,RAO,2613,GRU,2564,,0,AT7
2Z,1729.0,RAO,2613,GYN,2562,,0,AT7
2Z,1729.0,RAO,2613,PLU,2528,,0,AT7
2Z,1729.0,RAO,2613,SJP,2619,,0,AT7
2Z,1729.0,RAO,2613,UDI,2633,,0,AT7
2Z,1729.0,SJP,2619,RAO,2613,,0,AT7
2Z,1729.0,SSA,2621,BRA,7373,,0,AT7
2Z,1729.0,SSA,2621,VDC,6039,,0,AT7
2Z,1729.0,UBA,2635,GRU,2564,,0,AT7
2Z,1729.0,UBA,2635,UDI,2633,,0,AT7
2Z,1729.0,UDI,2633,GRU,2564,,0,AT7
2Z,1729.0,UDI,2633,GYN,2562,,0,AT7
2Z,1729.0,UDI,2633,RAO,2613,,0,AT7
2Z,1729.0,UDI,2633,UBA,2635,,0,AT7
2Z,1729.0,VDC,6039,GRU,2564,,0,AT7
2Z,1729.0,VDC,6039,SSA,2621,,0,AT7
3E,10739.0,BRL,5726,ORD,3830,,0,CNC
3E,10739.0,BRL,5726,STL,3678,,0,CNC
3E,10739.0,DEC,4042,ORD,3830,,0,CNC
3E,10739.0,DEC,4042,STL,3678,,0,CNC
3E,10739.0,JBR,3591,STL,3678,,0,CNC
3E,10739.0,ORD,3830,BRL,5726,,0,CNC
3E,10739.0,ORD,3830,DEC,4042,,0,CNC
3E,10739.0,STL,3678,BRL,5726,,0,CNC
3E,10739.0,STL,3678,DEC,4042,,0,CNC
3E,10739.0,STL,3678,JBR,3591,,0,CNC
3F,16262.0,KTN,3808,MTM,7146,,0,DHP
3F,16262.0,MTM,7146,KTN,3808,,0,DHP
3G,595.0,ACC,248,DKR,1084,,0,319
3G,595.0,ACC,248,LOS,273,,0,319
3G,595.0,ACC,248,ROB,1063,,0,319
3G,595.0,BCN,1218,BJL,1050,,0,319
3G,595.0,BJL,1050,BCN,1218,,0,319
3G,595.0,BJL,1050,DKR,1084,,0,319
3G,595.0,BJL,1050,FNA,1059,,0,319
3G,595.0,CKY,4162,OXB,5665,,0,319
3G,595.0,DKR,1084,ACC,248,,0,319
3G,595.0,DKR,1084,BJL,1050,,0,319
3G,595.0,DKR,1084,DLA,897,,0,319
3G,595.0,DKR,1084,FNA,1059,,0,319
3G,595.0,DKR,1084,LOS,273,,0,319
3G,595.0,DKR,1084,OXB,5665,,0,319
3G,595.0,DLA,897,DKR,1084,,0,319
3G,595.0,DLA,897,LOS,273,,0,319
3G,595.0,FNA,1059,BJL,1050,,0,319
3G,595.0,FNA,1059,DKR,1084,,0,319
3G,595.0,FNA,1059,LGW,502,,0,319
3G,595.0,FNA,1059,ROB,1063,,0,319
3G,595.0,LGW,502,FNA,1059,,0,319
3G,595.0,LOS,273,ACC,248,,0,319
3G,595.0,LOS,273,DKR,1084,,0,319
3G,595.0,LOS,273,DLA,897,,0,319
3G,595.0,LOS,273,ROB,1063,,0,319
3G,595.0,OXB,5665,CKY,4162,,0,319
3G,595.0,OXB,5665,DKR,1084,,0,319
3G,595.0,ROB,1063,ACC,248,,0,319
3G,595.0,ROB,1063,FNA,1059,,0,319
3G,595.0,ROB,1063,LOS,273,,0,319
3H,,AKV,5506,YIK,5504,,0,DH8
3H,,AKV,5506,YPX,6727,,0,DH8
3H,,XGR,5512,YVP,154,,0,DHT BET
3H,,YGL,62,YGW,5496,,0,DHT
3H,,YGL,62,YPX,6727,,0,73M
3H,,YGL,62,YUL,146,,0,73M
3H,,YGW,5496,YGL,62,,0,DHT
3H,,YGW,5496,YPH,5520,,0,BET
3H,,YGW,5496,YSK,5529,,0,DH8
3H,,YGW,5496,YUD,5515,,0,DH8
3H,,YGW,5496,YUL,146,,0,DH8
3H,,YGW,5496,YUY,149,,0,DH8
3H,,YIK,5504,AKV,5506,,0,DH8
3H,,YIK,5504,YZG,5535,,0,DH8
3H,,YKG,5481,YPJ,5508,,0,DHT DH8
3H,,YKG,5481,YQC,5499,,0,DH8
3H,,YKG,5481,YVP,154,,0,DH8 DHT
3H,,YKL,80,YQB,111,,0,DH8
3H,,YKL,80,YVP,154,,0,DH8 BET
3H,,YKL,80,YWK,161,,0,BET
3H,,YKL,80,YZV,202,,0,BET DH8
3H,,YPH,5520,YPX,6727,,0,DH8 BET
3H,,YPH,5520,YUD,5515,,0,DH8
3H,,YPH,5520,YVP,154,,0,BET
3H,,YPJ,5508,YKG,5481,,0,DHT DH8
3H,,YPJ,5508,YTQ,6728,,0,DHT DH8
3H,,YPJ,5508,YVP,154,,0,DHT
3H,,YPX,6727,AKV,5506,,0,DH8
3H,,YPX,6727,YGL,62,,0,73M
3H,,YPX,6727,YPH,5520,,0,DH8
3H,,YPX,6727,YVP,154,,0,BET
3H,,YQB,111,YKL,80,,0,DH8
3H,,YQB,111,YUL,146,,0,DH8
3H,,YQC,5499,YKG,5481,,0,DH8
3H,,YQC,5499,YWB,7253,,0,DH8
3H,,YSK,5529,YGW,5496,,0,DH8
3H,,YSK,5529,YUD,5515,,0,DH8
3H,,YTQ,6728,YPJ,5508,,0,DHT DH8
3H,,YTQ,6728,YVP,154,,0,DHT DH8
3H,,YUD,5515,YGW,5496,,0,DH8
3H,,YUD,5515,YPH,5520,,0,DH8
3H,,YUD,5515,YSK,5529,,0,DH8
3H,,YUL,146,YGL,62,,0,73M
3H,,YUL,146,YGW,5496,,0,DH8
3H,,YUL,146,YQB,111,,0,DH8
3H,,YUL,146,YUY,149,,0,DH8
3H,,YUY,149,YGW,5496,,0,DH8
3H,,YUY,149,YUL,146,,0,DH8
3H,,YVP,154,XGR,5512,,0,DHT BET
3H,,YVP,154,YGW,5496,,0,BET
3H,,YVP,154,YKG,5481,,0,DH8
3H,,YVP,154,YKL,80,,0,DH8 BET
3H,,YVP,154,YPH,5520,,0,BET
3H,,YVP,154,YPJ,5508,,0,DHT
3H,,YVP,154,YPX,6727,,0,BET
3H,,YVP,154,YTQ,6728,,0,DHT DH8
3H,,YWB,7253,YQC,5499,,0,DH8
3H,,YWB,7253,YZG,5535,,0,DH8
3H,,YWK,161,YKL,80,,0,BET
3H,,YWK,161,YZV,202,,0,BET
3H,,YZG,5535,YIK,5504,,0,DH8
3H,,YZG,5535,YWB,7253,,0,DH8
3H,,YZV,202,YKL,80,,0,BET DH8
3H,,YZV,202,YWK,161,,0,BET
3J,5521.0,JIB,4119,DXB,2188,,0,737
3J,5521.0,JIB,4119,JED,2072,,0,737
3J,5521.0,JIB,4119,MGQ,5687,,0,737
3J,5521.0,MGQ,5687,NBO,4059,,0,737
3J,5521.0,NBO,4059,MGQ,5687,,0,737
3K,3021.0,BKK,3885,SIN,3316,,0,320
3K,3021.0,DRW,3999,SIN,3316,,0,320
3K,3021.0,HAK,4120,SIN,3316,,0,320
3K,3021.0,HGH,3386,SIN,3316,,0,320
3K,3021.0,HKG,3077,SIN,3316,,0,320
3K,3021.0,HKT,3179,SIN,3316,,0,320
3K,3021.0,KIX,3992,MNL,2397,,0,320
3K,3021.0,KIX,3992,TPE,2276,,0,320
3K,3021.0,KUL,3304,SIN,3316,,0,320
3K,3021.0,MNL,2397,KIX,3992,,0,320
3K,3021.0,MNL,2397,SIN,3316,,0,320
3K,3021.0,PEN,3308,SIN,3316,,0,320
3K,3021.0,PER,3351,SIN,3316,,0,320
3K,3021.0,PNH,3034,SIN,3316,,0,320
3K,3021.0,REP,3035,SIN,3316,,0,320
3K,3021.0,RGN,3239,SIN,3316,,0,320
3K,3021.0,SGN,3205,SIN,3316,,0,320
3K,3021.0,SIN,3316,BKK,3885,,0,320
3K,3021.0,SIN,3316,DRW,3999,,0,320
3K,3021.0,SIN,3316,HAK,4120,,0,320
3K,3021.0,SIN,3316,HGH,3386,,0,320
3K,3021.0,SIN,3316,HKG,3077,,0,320
3K,3021.0,SIN,3316,HKT,3179,,0,320
3K,3021.0,SIN,3316,KUL,3304,,0,320
3K,3021.0,SIN,3316,MNL,2397,,0,320
3K,3021.0,SIN,3316,PEN,3308,,0,320
3K,3021.0,SIN,3316,PER,3351,,0,320
3K,3021.0,SIN,3316,PNH,3034,,0,320
3K,3021.0,SIN,3316,REP,3035,,0,320
3K,3021.0,SIN,3316,RGN,3239,,0,320
3K,3021.0,SIN,3316,SGN,3205,,0,320
3K,3021.0,SIN,3316,SWA,4302,,0,320
3K,3021.0,SIN,3316,TPE,2276,,0,320
3K,3021.0,SWA,4302,SIN,3316,,0,320
3K,3021.0,TPE,2276,KIX,3992,,0,320
3K,3021.0,TPE,2276,SIN,3316,,0,320
3L,2916.0,ACH,1679,EBA,1558,,0,DH3
3L,2916.0,DRS,338,ZRH,1678,,0,DH3
3L,2916.0,DUS,345,FDH,382,,0,DH3
3L,2916.0,EBA,1558,ACH,1679,,0,DH3
3L,2916.0,EBA,1558,FDH,382,,0,DH3
3L,2916.0,EBA,1558,MUC,346,,0,DH3
3L,2916.0,EBA,1558,ZRH,1678,,0,DH3
3L,2916.0,FDH,382,DUS,345,,0,DH3
3L,2916.0,FDH,382,EBA,1558,,0,DH3
3L,2916.0,FDH,382,HAM,342,,0,AT7
3L,2916.0,FDH,382,OLB,1520,,0,AT7
3L,2916.0,FDH,382,TXL,351,,0,AT7
3L,2916.0,FDH,382,ZAD,1209,,0,AT7
3L,2916.0,FMM,3986,NAP,1561,,0,AT7
3L,2916.0,GRZ,1609,ZRH,1678,,0,DH3
3L,2916.0,HAM,342,FDH,382,,0,AT7
3L,2916.0,MUC,346,EBA,1558,,0,DH3
3L,2916.0,NAP,1561,FMM,3986,,0,AT7
3L,2916.0,OLB,1520,FDH,382,,0,AT7
3L,2916.0,SZG,1612,ZRH,1678,,0,DH3
3L,2916.0,TXL,351,FDH,382,,0,AT7
3L,2916.0,ZAD,1209,FDH,382,,0,AT7
3L,2916.0,ZRH,1678,DRS,338,,0,DH3
3L,2916.0,ZRH,1678,EBA,1558,,0,DH3
3L,2916.0,ZRH,1678,GRZ,1609,,0,DH3
3L,2916.0,ZRH,1678,SZG,1612,,0,DH3
3M,20710.0,ATL,3682,LWB,6958,,0,SF3
3M,20710.0,ATL,3682,MCN,3754,,0,SF3
3M,20710.0,ATL,3682,MEI,4335,,0,SF3
3M,20710.0,ATL,3682,MSL,5756,,0,SF3
3M,20710.0,ATL,3682,PIB,5759,,0,SF3
3M,20710.0,ATL,3682,TUP,5773,,0,SF3
3M,20710.0,BIM,1937,FLL,3533,,0,SF3
3M,20710.0,ELH,1943,FLL,3533,,0,SF3
3M,20710.0,ELH,1943,PBI,3722,,0,SF3
3M,20710.0,EYW,3875,FLL,3533,,0,SF3
3M,20710.0,EYW,3875,RSW,3793,,0,SF3
3M,20710.0,EYW,3875,TPA,3646,,0,SF3
3M,20710.0,FLL,3533,BIM,1937,,0,SF3
3M,20710.0,FLL,3533,ELH,1943,,0,SF3
3M,20710.0,FLL,3533,EYW,3875,,0,SF3
3M,20710.0,FLL,3533,FPO,1948,,0,SF3
3M,20710.0,FLL,3533,GGT,1941,,0,SF3
3M,20710.0,FLL,3533,GHB,1944,,0,SF3
3M,20710.0,FLL,3533,MCO,3878,,0,SF3
3M,20710.0,FLL,3533,MHH,1930,,0,SF3
3M,20710.0,FLL,3533,TCB,1934,,0,SF3
3M,20710.0,FLL,3533,TPA,3646,,0,SF3
3M,20710.0,FPO,1948,FLL,3533,,0,SF3
3M,20710.0,GGT,1941,FLL,3533,,0,SF3
3M,20710.0,GGT,1941,GHB,1944,,0,SF3
3M,20710.0,GHB,1944,FLL,3533,,0,SF3
3M,20710.0,GLH,6130,TUP,5773,,0,SF3
3M,20710.0,GNV,3472,MCO,3878,,0,SF3
3M,20710.0,GNV,3472,TPA,3646,,0,SF3
3M,20710.0,JAX,3712,MHH,1930,,0,SF3
3M,20710.0,JAX,3712,TPA,3646,,0,SF3
3M,20710.0,LWB,6958,ATL,3682,,0,SF3
3M,20710.0,MCN,3754,ATL,3682,,0,SF3
3M,20710.0,MCN,3754,MCO,3878,,0,SF3
3M,20710.0,MCO,3878,FLL,3533,,0,SF3
3M,20710.0,MCO,3878,GNV,3472,,0,SF3
3M,20710.0,MCO,3878,MCN,3754,,0,SF3
3M,20710.0,MCO,3878,MHH,1930,,0,SF3
3M,20710.0,MCO,3878,PNS,3564,,0,SF3
3M,20710.0,MCO,3878,RSW,3793,,0,SF3
3M,20710.0,MCO,3878,TLH,3698,,0,SF3
3M,20710.0,MEI,4335,ATL,3682,,0,SF3
3M,20710.0,MHH,1930,FLL,3533,,0,SF3
3M,20710.0,MHH,1930,JAX,3712,,0,SF3
3M,20710.0,MHH,1930,MCO,3878,,0,SF3
3M,20710.0,MHH,1930,PBI,3722,,0,SF3
3M,20710.0,MSL,5756,ATL,3682,,0,SF3
3M,20710.0,PBI,3722,ELH,1943,,0,SF3
3M,20710.0,PBI,3722,MHH,1930,,0,SF3
3M,20710.0,PBI,3722,TPA,3646,,0,SF3
3M,20710.0,PIB,5759,ATL,3682,,0,SF3
3M,20710.0,PNS,3564,MCO,3878,,0,SF3
3M,20710.0,PNS,3564,TPA,3646,,0,SF3
3M,20710.0,RSW,3793,EYW,3875,,0,SF3
3M,20710.0,RSW,3793,MCO,3878,,0,SF3
3M,20710.0,TCB,1934,FLL,3533,,0,SF3
3M,20710.0,TLH,3698,MCO,3878,,0,SF3
3M,20710.0,TLH,3698,TPA,3646,,0,SF3
3M,20710.0,TPA,3646,EYW,3875,,0,SF3
3M,20710.0,TPA,3646,FLL,3533,,0,SF3
3M,20710.0,TPA,3646,GNV,3472,,0,SF3
3M,20710.0,TPA,3646,JAX,3712,,0,SF3
3M,20710.0,TPA,3646,PBI,3722,,0,SF3
3M,20710.0,TPA,3646,PNS,3564,,0,SF3
3M,20710.0,TPA,3646,TLH,3698,,0,SF3
3M,20710.0,TUP,5773,ATL,3682,,0,SF3
3M,20710.0,TUP,5773,GLH,6130,,0,SF3
3O,9818.0,AMS,580,NDR,5673,,0,320
3O,9818.0,AMS,580,TNG,1080,,0,320
3O,9818.0,BCN,1218,CMN,1074,,0,320
3O,9818.0,BCN,1218,NDR,5673,,0,320
3O,9818.0,BCN,1218,TNG,1080,,0,320
3O,9818.0,BGY,1525,CMN,1074,,0,320
3O,9818.0,BLQ,1538,CMN,1074,,0,320
3O,9818.0,BRU,302,CMN,1074,,0,320
3O,9818.0,BRU,302,NDR,5673,,0,320
3O,9818.0,BRU,302,TNG,1080,,0,320
3O,9818.0,CGN,344,NDR,5673,,0,320
3O,9818.0,CMN,1074,BCN,1218,,0,320
3O,9818.0,CMN,1074,BGY,1525,,0,320
3O,9818.0,CMN,1074,BLQ,1538,,0,320
3O,9818.0,CMN,1074,BRU,302,,0,320
3O,9818.0,CMN,1074,CUF,1534,,0,320
3O,9818.0,CMN,1074,LGW,502,,0,320
